,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
MANOLIS LT. NICK,DAREDEVIL/MATT MURDO,NEDDA,LANDERS GENA,CRAWLEY BETRAND,MOON KNIGHT/MARC SPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRENCHIE/JEAN-PAUL D,DAREDEVIL/MATT MURDO,NEDDA,LANDERS GENA,CRAWLEY BETRAND,MOON KNIGHT/MARC SPE,MANOLIS LT. NICK,ALRAUNE MARLENE,SAMUELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSHMAN RAOUL,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDERS RICKY,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,BUSHMAN RAOUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMUELS,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,BUSHMAN RAOUL,LANDERS RICKY,LANDERS GENA,NEDDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDERS RAY,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,BUSHMAN RAOUL,LANDERS RICKY,LANDERS GENA,NEDDA,SAMUELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERS ALICIA REIS,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,THING/BENJAMIN J. GR,MOON KNIGHT/MARC SPE,LIVING MUMMY,ANNIHILUS,INVISIBLE WOMAN/SUE ,RICHARDS FRANKLIN B,CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK,SHE-HULK/JENNIFER WA,SCARLET WITCH/WANDA ,HUMAN TORCH/JOHNNY S,STARFOX/EROS,NOVA II/FRANKIE RAYE,CAPTAIN AMERICA,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MR. FANTASTIC/REED R,VISION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEAR EATER/KKALLAKKU,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,CLEA,SCARECROW II,NIGHTMARE/EDVARD HAB,NOX,RINTRAH,DR. STRANGE/STEPHEN ,PHOBOS,DEIMOS,WONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LURKING UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOLFE SARA,LURKING UNKNOWN,PHOBOS,DR. STRANGE/STEPHEN ,NOX,DWELLER IN DARKNESS,RINTRAH,DEIMOS,WONG,TOPAZ,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWELLER IN DARKNESS,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,PHOBOS,DR. STRANGE/STEPHEN ,NOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARECROW II,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,CLEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOX,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,CLEA,SCARECROW II,NIGHTMARE/EDVARD HAB,PHOBOS,DR. STRANGE/STEPHEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RINTRAH,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,CLEA,SCARECROW II,NIGHTMARE/EDVARD HAB,NOX,PHOBOS,DR. STRANGE/STEPHEN ,TOPAZ,WONG,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WARLOCK II/ADAM WARL,DR. DRUID/ANTHONY LU,BARON BLOOD II/VICTO,BLESSING MORGANA,PIP/PRINCE GOFERN,GAMORA,DR. DOOM/VICTOR VON ,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],FIRELORD/PYREUS KRIL,AGAMOTTO,SILVER DAGGER/ISAIAH,SILVER SURFER/NORRIN,MEPHISTA,MEPHISTO,SATANNISH,CHANG IMEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOBOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEIMOS,PHOBOS,DR. STRANGE/STEPHEN ,NOX,DWELLER IN DARKNESS,RINTRAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANG IMEI,PHOBOS,DR. STRANGE/STEPHEN ,NOX,DWELLER IN DARKNESS,RINTRAH,DEIMOS,WONG,WOLFE SARA,CLEA,FEAR EATER/KKALLAKKU,NIGHTMARE/EDVARD HAB,TOPAZ,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WARLOCK II/ADAM WARL,DR. DRUID/ANTHONY LU,BARON BLOOD II/VICTO,BLESSING MORGANA,PIP/PRINCE GOFERN,GAMORA,SILVER SURFER/NORRIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPAZ,BLESSING MORGANA,DR. STRANGE/STEPHEN ,MEPHISTA,BARON BLOOD II/VICTO,MEPHISTO,SATANNISH,RINTRAH,CLEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. DRUID/ANTHONY LU,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WOLFE SARA,WARLOCK II/ADAM WARL,PIP/PRINCE GOFERN,DR. DOOM/VICTOR VON ,RINTRAH,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],CAESAR JULIUS,ZOTA,THANOS,BLOODSTONE/ULYSSES B,MOLE MAN/HARVEY RUPE,ZINOVIEV IVAN,VALKIN,GORGILLA,MAKKARI/MIKE KHARY/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARON BLOOD II/VICTO,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WOLFE SARA,WARLOCK II/ADAM WARL,DR. DRUID/ANTHONY LU,DR. DOOM/VICTOR VON ,BLESSING MORGANA,MEPHISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLESSING MORGANA,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WOLFE SARA,WARLOCK II/ADAM WARL,DR. DRUID/ANTHONY LU,BARON BLOOD II/VICTO,DR. DOOM/VICTOR VON ,AGAMOTTO,SILVER DAGGER/ISAIAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIP/PRINCE GOFERN,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WOLFE SARA,WARLOCK II/ADAM WARL,DR. DRUID/ANTHONY LU,BARON BLOOD II/VICTO,BLESSING MORGANA,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],FIRELORD/PYREUS KRIL,RINTRAH,DR. DOOM/VICTOR VON ,AGAMOTTO,SILVER DAGGER/ISAIAH,SILVER SURFER/NORRIN,CAESAR JULIUS,ZOTA,THANOS,CLEOPATRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMORA,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WOLFE SARA,WARLOCK II/ADAM WARL,DR. DRUID/ANTHONY LU,BARON BLOOD II/VICTO,BLESSING MORGANA,PIP/PRINCE GOFERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKENSURFER/BORGO,DR. STRANGE/STEPHEN ,VON FRANKENSTEIN BA,DRACULA/VLAD TEPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VON FRANKENSTEIN BA,DR. STRANGE/STEPHEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACULA/VLAD TEPES,DR. STRANGE/STEPHEN ,VON FRANKENSTEIN BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. DOOM/VICTOR VON ,PIP/PRINCE GOFERN,WARLOCK II/ADAM WARL,CAPTAIN AMERICA,TERRAX II/TYROS,IRON MAN/TONY STARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERBERUS,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],DR. STRANGE/STEPHEN ,SCARLET WITCH/WANDA ,CLEA,DR. DRUID/ANTHONY LU,FIRELORD/PYREUS KRIL,RINTRAH,PIP/PRINCE GOFERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELA [ASGARDIAN],HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,HAWK,THOR/DR. DONALD BLAK,COLLINS DEMITRIUS,KINCAID DR. JANE FO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRELORD/PYREUS KRIL,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],DR. STRANGE/STEPHEN ,SCARLET WITCH/WANDA ,CLEA,DR. DRUID/ANTHONY LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAMOTTO,WARLOCK II/ADAM WARL,DR. DOOM/VICTOR VON ,CLEA,BARON BLOOD II/VICTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER DAGGER/ISAIAH,WARLOCK II/ADAM WARL,DR. DOOM/VICTOR VON ,CLEA,BARON BLOOD II/VICTO,AGAMOTTO,DR. STRANGE/STEPHEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAESAR JULIUS,CLEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTA,CLEA,CAESAR JULIUS,DR. STRANGE/STEPHEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANOS,CLEA,CAESAR JULIUS,DR. STRANGE/STEPHEN ,ZOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEOPATRA,CLEA,CAESAR JULIUS,DR. STRANGE/STEPHEN ,ZOTA,THANOS,DR. DRUID/ANTHONY LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEPHISTA,BLESSING MORGANA,DR. STRANGE/STEPHEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEPHISTO,BLESSING MORGANA,DR. STRANGE/STEPHEN ,MEPHISTA,BARON BLOOD II/VICTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATANNISH,BLESSING MORGANA,DR. STRANGE/STEPHEN ,MEPHISTA,BARON BLOOD II/VICTO,MEPHISTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOAN DR.,OSBORN LIZ ALLAN,HOCHBERG ROGER,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOBGOBLIN III/LEFTY ,OSBORN LIZ ALLAN,SLOAN DR.,BLACK CAT/FELICIA HA,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,HOBGOBLIN II/RODERIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOBGOBLIN II/RODERIC,OSBORN LIZ ALLAN,SLOAN DR.,BLACK CAT/FELICIA HA,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,HOBGOBLIN III/LEFTY ,BEYONDER,KINGPIN/WILSON FISK,JAMESON J. JONAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROG-MAN II/EUGENE P,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,THUNDERBALL/DR. ELIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUBENSKI NATE,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,THUNDERBALL/DR. ELIO,FROG-MAN II/EUGENE P,PARKER MAY,VULTURE/ADRIAN TOOME,FOREIGNER/RAFAEL BAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREIGNER/RAFAEL BAS,SPIDER-MAN/PETER PAR,VULTURE/ADRIAN TOOME,PARKER MAY,WATSON-PARKER MARY ,WATSON ANNA,BANNON LANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANNON LANCE,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,VULTURE/ADRIAN TOOME,WATSON ANNA,SLOAN DR.,HOCHBERG ROGER,BLACK CAT/FELICIA HA,URICH BEN,LIZARD/DR. CURTIS CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUGGINS MAMIE,SLOAN DR.,BANNON LANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THINKER,SLOAN DR.,BANNON LANCE,MUGGINS MAMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOCHBERG ROGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIZARD/DR. CURTIS CO,HOCHBERG ROGER,SPIDER-MAN/PETER PAR,SLOAN DR.,BLACK CAT/FELICIA HA,URICH BEN,JAMESON J. JONAH,KRAVEN THE HUNTER/SE,KINGPIN/WILSON FISK,LIGHTMASTER/EDWARD L,ROBERTSON JOE,TARANTULA/ANTON MIGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSLEY DANIEL,BEYONDER,OSBORN LIZ ALLAN,KINGPIN/WILSON FISK,WATSON-PARKER MARY ,SPIDER-MAN/PETER PAR,JAMESON J. JONAH,HOBGOBLIN II/RODERIC,JAMESON MARLA MADIS,OSBORN HARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMESON MARLA MADIS,BEYONDER,OSBORN LIZ ALLAN,KINGPIN/WILSON FISK,WATSON-PARKER MARY ,SPIDER-MAN/PETER PAR,JAMESON J. JONAH,HOBGOBLIN II/RODERIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNT NEFARIA LUCHI,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,ZELDA,ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES ,EEL/LEOPOLD STRYKE,CANTOR VERA,PORCUPINE/ALEX GENTR,UNICORN/MYLOS MASARY,HENDERSHOOT COLONEL,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,ZABU,PLUNDER ADAM KYLE M,MANNING DR.,CAPTAIN AMERICA,SHANNA/SHANNA O'HARA,CARTER SHARON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANTMAN/SAM SMITHER,HENDERSHOOT COLONEL,PORCUPINE/ALEX GENTR,COUNT NEFARIA LUCHI,FREDERICKS GENERAL,ANGEL/WARREN KENNETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARECROW/EBENEZER L,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,HENDERSHOOT COLONEL,PORCUPINE/ALEX GENTR,COUNT NEFARIA LUCHI,FREDERICKS GENERAL,ANGEL/WARREN KENNETH,PENANCE/MONET ST. CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZELDA,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,PUPPET MASTER/PHILLI,MIMIC/CALVIN RANKIN,PROFESSOR X/CHARLES ,SPIDER-MAN/PETER PAR,SCARLET WITCH/WANDA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEL/LEOPOLD STRYKE,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,ZELDA,ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES ,HENDERSHOOT COLONEL,PORCUPINE/ALEX GENTR,COUNT NEFARIA LUCHI,FREDERICKS GENERAL,PENANCE/MONET ST. CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTOR VERA,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,ZELDA,ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES ,EEL/LEOPOLD STRYKE,PUPPET MASTER/PHILLI,MIMIC/CALVIN RANKIN,SPIDER-MAN/PETER PAR,SCARLET WITCH/WANDA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORCUPINE/ALEX GENTR,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,ZELDA,ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES ,EEL/LEOPOLD STRYKE,CANTOR VERA,HENDERSHOOT COLONEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICORN/MYLOS MASARY,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,ZELDA,ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES ,EEL/LEOPOLD STRYKE,CANTOR VERA,PORCUPINE/ALEX GENTR,HENDERSHOOT COLONEL,COUNT NEFARIA LUCHI,FREDERICKS GENERAL,PENANCE/MONET ST. CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSHOOT COLONEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREDERICKS GENERAL,HENDERSHOOT COLONEL,PORCUPINE/ALEX GENTR,COUNT NEFARIA LUCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
